iter	Passed	Remaining
0	59	59686
1	60	30080
2	60	20180
3	61	15218
4	61	12242
5	61	10263
6	62	8840
7	62	7768
8	62	6931
9	63	6262
10	63	5717
11	63	5261
12	64	4879
13	64	4548
14	64	4261
15	65	4009
16	65	3788
17	65	3592
18	66	3417
19	66	3266
20	66	3122
21	67	2992
22	67	2873
23	68	2766
24	68	2665
25	68	2572
26	68	2485
27	69	2407
28	69	2333
29	70	2266
30	70	2203
31	70	2143
32	71	2087
33	71	2033
34	71	1983
35	72	1936
36	72	1890
37	72	1847
38	73	1805
39	73	1766
40	73	1730
41	74	1696
42	74	1663
43	75	1631
44	75	1599
45	75	1570
46	76	1543
47	76	1517
48	76	1492
49	77	1467
50	77	1443
51	77	1419
52	78	1396
53	78	1374
54	78	1353
55	79	1334
56	79	1314
57	79	1295
58	80	1276
59	80	1259
60	80	1243
61	81	1227
62	81	1212
63	81	1196
64	82	1182
65	82	1167
66	82	1153
67	82	1136
68	83	1123
69	83	1110
70	83	1097
71	84	1085
72	84	1073
73	84	1061
74	85	1049
75	85	1038
76	85	1028
77	86	1017
78	86	1007
79	86	997
80	87	987
81	87	978
82	87	969
83	88	960
84	88	950
85	88	941
86	88	931
87	89	923
88	89	915
89	89	908
90	90	900
91	90	892
92	90	885
93	91	878
94	91	872
95	91	865
96	92	858
97	92	852
98	93	853
99	94	846
100	94	840
101	94	832
102	94	825
103	95	819
104	95	813
105	95	807
106	96	801
107	96	797
108	96	791
109	97	786
110	97	781
111	97	776
112	98	771
113	98	766
114	98	761
115	99	755
116	99	751
117	99	746
118	100	741
119	100	736
120	100	731
121	101	726
122	101	721
123	101	716
124	101	712
125	102	707
126	102	703
127	102	699
128	103	695
129	103	691
130	103	687
131	103	683
132	104	679
133	104	676
134	104	672
135	105	668
136	105	664
137	105	660
138	106	657
139	106	653
140	106	650
141	107	647
142	107	644
143	107	640
144	108	637
145	108	634
146	108	630
147	109	627
148	109	624
149	109	621
150	109	618
151	110	615
152	110	612
153	111	609
154	111	606
155	111	603
156	111	600
157	112	598
158	112	595
159	112	592
160	113	589
161	113	587
162	113	584
163	114	581
164	114	579
165	114	576
166	115	574
167	115	571
168	115	569
169	116	567
170	116	564
171	116	562
172	117	559
173	117	557
174	117	554
175	117	552
176	118	550
177	118	547
178	118	545
179	119	543
180	119	540
181	119	538
182	120	535
183	120	533
184	120	531
185	121	529
186	121	527
187	121	525
188	121	523
189	122	521
190	122	519
191	122	517
192	123	515
193	123	513
194	123	511
195	124	509
196	124	507
197	124	505
198	125	504
199	125	502
200	126	500
201	127	501
202	127	500
203	127	498
204	128	496
205	128	494
206	128	492
207	128	491
208	129	489
209	129	487
210	129	485
211	130	484
212	130	482
213	130	480
214	131	478
215	131	477
216	131	475
217	132	474
218	132	472
219	132	471
220	133	469
221	133	467
222	133	466
223	134	465
224	134	463
225	134	462
226	135	460
227	135	459
228	135	457
229	136	455
230	136	454
231	136	452
232	137	451
233	137	450
234	137	448
235	138	447
236	138	445
237	138	444
238	139	442
239	139	441
240	139	440
241	140	438
242	140	437
243	140	436
244	141	434
245	141	433
246	141	431
247	142	430
248	142	429
249	142	428
250	143	426
251	143	425
252	143	424
253	143	422
254	144	421
255	145	422
256	145	420
257	145	419
258	146	418
259	146	417
260	146	415
261	147	414
262	147	413
263	147	412
264	148	411
265	148	409
266	148	408
267	149	407
268	149	406
269	149	405
270	150	403
271	150	402
272	150	401
273	151	400
274	151	399
275	151	398
276	152	396
277	152	395
278	152	394
279	152	393
280	153	392
281	153	390
282	153	390
283	154	389
284	154	388
285	155	387
286	155	386
287	155	385
288	156	384
289	156	383
290	156	382
291	157	381
292	157	380
293	157	379
294	158	378
295	158	377
296	158	376
297	159	375
298	159	374
