iter	Passed	Remaining
0	58	58302
1	58	29315
2	59	19647
3	59	14818
4	59	11926
5	60	9985
6	60	8600
7	60	7562
8	61	6762
9	61	6110
10	62	5589
11	62	5143
12	62	4770
13	63	4447
14	63	4165
15	63	3922
16	64	3708
17	64	3515
18	64	3341
19	65	3185
20	65	3045
21	65	2919
22	66	2807
23	66	2700
24	66	2603
25	67	2510
26	67	2428
27	67	2354
28	68	2281
29	68	2215
30	68	2152
31	69	2093
32	69	2037
33	69	1983
34	70	1934
35	70	1886
36	70	1843
37	71	1801
38	71	1761
39	71	1723
40	72	1688
41	72	1654
42	72	1622
43	73	1589
44	73	1559
45	73	1530
46	74	1502
47	74	1476
48	74	1451
49	75	1426
50	75	1403
51	75	1382
52	76	1362
53	76	1341
54	76	1321
55	77	1300
56	77	1281
57	77	1263
58	78	1245
59	78	1229
60	78	1212
61	79	1197
62	79	1183
63	79	1168
64	80	1156
65	80	1142
66	81	1128
67	81	1115
68	81	1101
69	81	1089
70	82	1076
71	82	1065
72	83	1054
73	83	1043
74	83	1034
75	84	1023
76	84	1013
77	84	1002
78	85	995
79	85	985
80	86	975
81	86	967
82	86	955
83	86	947
84	87	938
85	87	930
86	87	921
87	88	913
88	88	905
89	88	897
90	89	889
91	89	882
92	89	874
93	90	867
94	90	862
95	90	855
96	91	849
97	91	843
98	91	836
99	92	830
100	92	823
101	92	817
102	93	812
103	93	806
104	93	800
105	94	795
106	94	790
107	94	784
108	95	779
109	95	774
110	96	770
111	96	765
112	96	760
113	97	755
114	97	750
115	97	745
116	97	739
117	98	734
118	98	730
119	99	726
120	99	721
121	99	716
122	99	712
123	100	707
124	100	703
125	100	699
126	101	694
127	102	694
128	102	691
129	103	694
130	104	690
131	104	687
132	104	683
133	105	679
134	105	676
135	105	672
136	106	670
137	106	667
138	107	664
139	107	661
140	107	657
141	108	653
142	108	649
143	108	646
144	109	642
145	109	639
146	109	636
147	110	633
148	110	630
149	110	626
150	111	624
151	111	621
152	111	618
153	112	615
154	112	612
155	112	610
156	113	607
157	113	604
158	113	601
159	114	598
160	114	596
161	114	593
162	115	590
163	115	588
164	115	586
165	116	583
166	116	581
167	116	578
168	117	576
169	117	574
170	117	571
171	118	569
172	118	567
173	119	565
174	119	562
175	119	560
176	120	557
177	120	555
178	120	553
179	120	551
180	121	551
181	122	549
182	122	547
183	122	544
184	123	542
185	123	540
186	123	538
187	124	536
188	124	534
189	124	532
190	125	530
191	125	527
192	125	525
193	126	524
194	126	522
195	126	520
196	127	518
197	127	517
198	127	515
199	128	513
200	128	511
201	128	509
202	129	508
203	129	507
204	130	505
205	130	503
206	130	501
207	131	500
208	131	498
209	132	497
210	132	495
211	132	494
212	133	492
213	133	490
214	134	489
215	134	487
216	134	485
217	134	484
218	135	482
219	135	480
220	135	478
221	136	477
222	136	475
223	136	474
224	137	472
225	137	470
226	137	469
227	138	468
228	138	466
229	139	465
230	139	464
231	139	462
232	140	461
233	140	459
234	140	458
235	141	456
236	141	455
237	141	453
238	142	452
239	143	453
240	147	463
241	147	461
242	148	462
243	148	461
244	149	460
245	149	458
246	150	457
247	150	455
248	150	454
249	151	453
250	151	451
251	151	450
252	152	449
253	152	447
254	152	446
255	153	445
256	153	444
257	153	442
258	154	441
259	154	440
260	155	439
261	155	437
262	155	436
263	156	435
264	156	434
265	156	433
266	157	431
267	157	430
268	158	429
269	158	428
270	158	426
271	159	425
272	159	424
273	159	423
274	160	422
275	160	420
276	160	419
277	161	418
278	161	416
279	161	415
280	162	414
281	162	413
282	162	412
283	163	410
284	163	409
285	163	408
286	163	407
287	164	406
288	164	404
289	164	403
290	165	402
291	165	401
292	165	400
293	166	399
294	166	398
295	166	397
296	167	395
297	167	395
298	168	393
299	168	392
300	168	391
301	169	390
302	169	389
303	169	388
304	170	387
305	170	386
306	170	385
307	171	384
308	171	383
309	171	382
310	171	380
311	172	379
312	172	378
313	172	377
314	173	376
315	173	375
316	174	374
317	175	375
318	175	374
319	175	373
320	176	372
321	176	371
322	176	370
323	177	369
324	177	368
325	177	367
326	178	366
327	178	365
328	178	364
329	179	363
330	179	362
331	179	361
332	180	360
333	180	359
334	180	358
335	181	357
336	181	357
337	181	356
338	182	355
339	182	354
340	182	353
341	183	352
342	183	351
343	183	350
344	184	349
345	184	348
346	184	347
347	185	347
348	185	346
349	185	345
350	186	344
351	186	343
352	187	342
353	187	341
354	187	340
355	187	339
356	188	339
357	188	338
358	188	337
359	189	336
360	189	335
361	189	334
362	190	333
363	190	332
364	190	331
365	191	331
366	191	330
367	191	329
368	192	328
369	192	327
370	192	326
371	193	325
372	193	325
373	193	324
374	194	323
375	194	322
376	194	321
377	194	320
378	195	319
379	195	319
380	195	318
381	196	317
382	196	316
383	197	316
384	197	315
385	197	314
386	198	313
387	198	313
388	198	312
389	199	311
390	199	310
391	200	310
392	200	309
393	200	308
394	201	308
395	201	307
396	201	306
397	202	305
398	202	304
399	202	304
400	203	303
401	203	302
402	203	301
403	203	300
404	204	300
405	204	299
406	205	298
407	205	298
408	205	297
409	206	296
410	206	295
411	206	295
412	207	294
413	207	293
414	207	292
415	208	292
416	208	291
417	208	290
418	209	290
419	209	289
420	209	288
421	210	287
422	210	287
423	210	286
424	211	285
425	211	284
426	211	284
427	212	283
428	212	282
429	212	282
430	213	281
431	213	280
432	213	280
433	214	279
434	214	278
435	214	277
436	215	277
437	215	276
438	215	275
439	216	275
440	216	274
441	216	273
442	217	273
443	217	272
444	218	271
445	218	271
446	218	270
447	219	270
448	219	269
449	219	268
450	220	268
451	220	267
452	220	266
453	221	266
454	221	265
455	221	264
456	222	263
457	222	263
458	222	262
459	223	261
460	223	261
461	223	260
462	224	259
463	224	259
464	224	258
465	225	257
466	225	257
467	225	256
468	226	255
469	226	255
470	226	254
471	227	254
472	227	253
473	227	252
474	228	252
475	228	251
476	228	250
477	229	250
478	229	249
479	229	249
480	230	248
481	230	247
482	230	247
483	231	246
484	231	246
485	231	245
486	232	244
487	232	244
488	232	243
489	233	242
490	233	242
491	233	241
492	234	240
493	234	240
494	234	239
495	235	238
496	235	238
497	235	237
498	236	237
499	236	236
500	236	235
501	237	235
502	237	234
503	237	234
504	238	233
505	238	232
506	238	232
507	239	231
508	239	231
509	239	230
510	240	229
511	240	229
512	240	228
513	241	228
514	241	227
515	241	226
516	242	226
517	242	225
518	242	224
519	243	224
520	243	223
521	243	223
522	244	222
523	244	222
524	244	221
525	245	221
526	245	220
527	246	220
528	246	219
529	246	218
530	247	218
531	247	218
532	248	217
533	248	216
534	248	216
535	249	215
536	249	215
537	249	214
538	250	214
539	250	213
540	250	212
541	251	212
542	251	211
543	251	211
544	252	210
545	252	209
546	252	209
547	253	208
548	253	208
549	253	207
550	254	207
551	254	206
552	254	205
553	255	205
554	255	204
555	255	204
556	256	203
557	256	203
558	256	202
559	257	201
560	257	201
561	257	200
562	257	200
563	258	199
564	258	199
565	258	198
566	259	197
567	259	197
568	260	196
569	260	196
570	260	195
571	261	195
572	261	194
573	261	194
574	262	193
575	262	193
576	262	192
577	263	192
578	263	191
579	263	191
580	264	190
581	264	190
582	264	189
583	265	188
584	265	188
585	265	187
586	266	187
587	266	186
588	266	186
589	267	185
590	267	185
591	267	184
592	267	183
593	268	183
594	268	182
595	268	182
596	269	181
597	269	181
598	269	180
599	270	180
600	270	179
601	270	179
602	271	178
603	271	178
604	271	177
605	272	176
606	272	176
607	272	175
608	273	175
609	273	174
610	273	174
611	274	173
612	274	173
613	274	172
614	275	172
615	275	171
616	275	171
617	276	170
618	276	170
619	276	169
620	277	169
621	277	168
622	277	168
623	278	167
624	278	167
625	278	166
626	279	166
627	279	165
628	279	165
629	280	164
630	280	164
631	280	163
632	281	163
633	281	162
634	281	162
635	282	161
636	282	161
637	283	160
638	283	160
